code,browser,b&w,apple,andr,twit,wind,gmail,name,annotations
1f1e9_1f1f2,images/1f1e9_1f1f2_browser.png,images/1f1e9_1f1f2_bw.png,images/1f1e9_1f1f2_apple.png,missing,missing,missing,missing,flag for Dominica,dominica;flag;other
1f1e9_1f1f4,images/1f1e9_1f1f4_browser.png,images/1f1e9_1f1f4_bw.png,images/1f1e9_1f1f4_apple.png,missing,missing,missing,missing,flag for Dominican Republic,dominican republic;flag;other
1f1e9_1f1ff,images/1f1e9_1f1ff_browser.png,images/1f1e9_1f1ff_bw.png,images/1f1e9_1f1ff_apple.png,missing,missing,missing,missing,flag for Algeria,algeria;flag;other
1f1ea_1f1e6,images/1f1ea_1f1e6_browser.png,images/1f1ea_1f1e6_bw.png,missing,missing,missing,missing,missing,flag for Ceuta & Melilla,ceuta;flag;melilla;other
1f1ea_1f1e8,images/1f1ea_1f1e8_browser.png,images/1f1ea_1f1e8_bw.png,images/1f1ea_1f1e8_apple.png,missing,missing,missing,missing,flag for Ecuador,ecuador;flag;other
1f1ea_1f1ea,images/1f1ea_1f1ea_browser.png,images/1f1ea_1f1ea_bw.png,images/1f1ea_1f1ea_apple.png,missing,missing,missing,missing,flag for Estonia,estonia;flag;other
1f1ea_1f1ec,images/1f1ea_1f1ec_browser.png,images/1f1ea_1f1ec_bw.png,images/1f1ea_1f1ec_apple.png,missing,missing,missing,missing,flag for Egypt,egypt;flag;other
1f1ea_1f1ed,images/1f1ea_1f1ed_browser.png,images/1f1ea_1f1ed_bw.png,missing,missing,missing,missing,missing,flag for Western Sahara,flag;other;sahara;west;western sahara
1f1ea_1f1f7,images/1f1ea_1f1f7_browser.png,images/1f1ea_1f1f7_bw.png,images/1f1ea_1f1f7_apple.png,missing,missing,missing,missing,flag for Eritrea,eritrea;flag;other
1f1ea_1f1f8,images/1f1ea_1f1f8_browser.png,images/1f1ea_1f1f8_bw.png,images/1f1ea_1f1f8_apple.png,images/1f1ea_1f1f8_andr.png,missing,images/1f1ea_1f1f8_wind.png,missing,flag for Spain,flag;other;spain
